entity,iso3,file,domain,domain_raw,has_plan,plan,issuing_body,year,year_raw,posture,posture_label
United States,USA,01-United-States.md,Nuclear energy,Nuclear Energy,True,"EO 14302 ""Reinvigorating the Nuclear Industrial Base"" (+ EOs 14299/14300)",White House,2025,2025,4,frontier
United States,USA,01-United-States.md,Artificial intelligence,Artificial Intelligence,True,"America's AI Action Plan (""Winning the AI Race"")",White House / OSTP,2025,2025,4,frontier
United States,USA,01-United-States.md,Quantum information science,Quantum,True,"EO 14413 ""Ushering in the Next Frontier of Quantum Innovation""",White House,2026,2026,4,frontier
United States,USA,01-United-States.md,Biomedical & biotechnology,Biotechnology,True,Charting the Future of Biotechnology (NSCEB final report),Nat'l Security Comm. on Emerging Biotech,2025,2025,4,frontier
United States,USA,01-United-States.md,Materials & critical minerals,Materials Science,True,Materials Genome Initiative Strategic Plan (+ 2026 Section 232 critical-minerals proclamation),NSTC,2026,2021 / 2026,3,mature
United States,USA,01-United-States.md,Semiconductors,Semiconductors,True,National Strategy on Microelectronics Research (+ 2026 Section 232 semiconductor proclamation),NSTC / OSTP,2025,2023/2025,4,frontier
United States,USA,01-United-States.md,Digital infrastructure,Digital Tech,True,U.S. International Cyberspace and Digital Policy Strategy (+ 2025 data-center permitting EO),Dept. of State / White House,2025,2024/2025,4,frontier
United States,USA,01-United-States.md,Autonomous systems,Autonomous Systems,True,"EO 14307 ""Unleashing American Drone Dominance"" (+ DoD drone-dominance memo)",White House / DoD,2025,2025,4,frontier
Canada,CAN,10-Canada.md,Nuclear energy,Nuclear Energy,True,SMR Action Plan,NRCan,2025,2020 (Darlington FID 2025),3,mature
Canada,CAN,10-Canada.md,Artificial intelligence,Artificial Intelligence,True,AI for All: Canada's National AI Strategy,Min. of AI & Digital Innovation / ISED,2026,2026 (succeeds Pan-Canadian AI Strategy 2017/2022),4,frontier
Canada,CAN,10-Canada.md,Quantum information science,Quantum,True,National Quantum Strategy,ISED,2023,2023,3,mature
Canada,CAN,10-Canada.md,Biomedical & biotechnology,Biotechnology,True,Biomanufacturing and Life Sciences Strategy,ISED / Health Canada,2021,2021,3,mature
Canada,CAN,10-Canada.md,Materials & critical minerals,Materials / Critical Minerals,True,Canadian Critical Minerals Strategy,NRCan,2025,"2022 (Sovereign Fund, Budget 2025)",3,mature
Canada,CAN,10-Canada.md,Semiconductors,Semiconductors,True,FABrIC,ISED / CMC Microsystems,2024,2024,2,active
Canada,CAN,10-Canada.md,Digital infrastructure,Digital Tech,True,High-Speed Access for All: Connectivity Strategy,ISED,2019,2019,2,active
Canada,CAN,10-Canada.md,Autonomous systems,Autonomous Systems,True,Transport Canada's Drone Strategy to 2025,Transport Canada,2021,2021,2,active
Mexico,MEX,36-Mexico.md,Nuclear energy,Nuclear Energy,True,Programa Sectorial de Energía (PROSENER) 2025–2030 + PRODESEN 2024–2038,SENER / CFE / ININ / CNSNS,2025,2025,2,active
Mexico,MEX,36-Mexico.md,Artificial intelligence,Artificial Intelligence,True,Plan Nacional de IA (ATDT) + iniciativa Ley Federal de IA / Consejo Nacional de IA,ATDT (exec) / Congreso,2026,2024–2026,3,mature
Mexico,MEX,36-Mexico.md,Quantum information science,Quantum,True,Iniciativa Mexicana en Tecnología Cuántica (IMTC),DICU / Sociedad Mexicana de Física,2023,2023,1,nascent
Mexico,MEX,36-Mexico.md,Biomedical & biotechnology,Biotechnology,True,Programa Sectorial CHTI 2025–2030 + PRONACES-Salud,SECIHTI (ex-CONAHCYT),2025,2025,2,active
Mexico,MEX,36-Mexico.md,Materials & critical minerals,Materials / Critical Minerals,True,Decreto de Creación de LitioMx,Federal Executive / SENER,2022,2022,3,mature
Mexico,MEX,36-Mexico.md,Semiconductors,Semiconductors,True,"Centro ""Kutsari"" + Programa Institucional InnovaBienestar 2026–2030",SECIHTI / InnovaBienestar / Sonora,2026,2026,2,active
Mexico,MEX,36-Mexico.md,Digital infrastructure,Digital Tech,True,Programa Sectorial de la ATDT 2025–2030 (Nube MX),ATDT / Presidencia,2025,2025,3,mature
